"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
8.351875103E1,6.500621000E1,2.560814167E1,2.762470769E1,1.808733940E0,5.063000107E1,1.399999976E0,8.000000000E0
8.451875103E1,6.500621833E1,2.560816667E1,2.782470242E1,1.796895266E0,4.806000137E1,1.399999976E0,8.000000000E0
8.551875103E1,6.500622500E1,2.560819667E1,2.772469700E1,1.794836402E0,5.275000000E1,1.399999976E0,8.000000000E0
8.651875103E1,6.500623167E1,2.560822333E1,2.742469198E1,1.794836402E0,5.090000153E1,1.399999976E0,8.100000381E0
8.751875103E1,6.500624000E1,2.560824667E1,2.692468692E1,1.800498366E0,4.702000046E1,1.399999976E0,8.100000381E0
8.851875103E1,6.500624833E1,2.560827833E1,2.662468085E1,1.803071976E0,4.988999939E1,1.399999976E0,8.100000381E0
8.951875103E1,6.500625667E1,2.560831167E1,2.652467458E1,1.790718555E0,5.913999939E1,1.399999976E0,8.199999809E0
9.051875103E1,6.500626500E1,2.560834833E1,2.662466791E1,1.768585563E0,6.436000061E1,1.399999976E0,8.300000191E0
9.151875103E1,6.500626833E1,2.560838167E1,2.642466298E1,1.737702250E0,7.451000214E1,1.399999976E0,8.100000381E0
9.251875103E1,6.500627333E1,2.560841000E1,2.612465821E1,1.711451411E0,6.583000183E1,1.399999976E0,8.100000381E0
9.351875103E1,6.500628000E1,2.560844333E1,2.592465239E1,1.684171081E0,6.334000015E1,1.399999976E0,8.000000000E0
9.451875103E1,6.500628833E1,2.560847833E1,2.602464592E1,1.669244170E0,6.109999847E1,1.399999976E0,8.100000381E0
9.551875103E1,6.500629667E1,2.560851333E1,2.612463945E1,1.665126443E0,6.225999832E1,1.399999976E0,8.199999809E0
9.651875103E1,6.500630833E1,2.560854500E1,2.642463249E1,1.646596432E0,6.491999817E1,1.399999976E0,8.100000381E0
9.751875103E1,6.500631667E1,2.560857333E1,2.652462683E1,1.626522183E0,6.784999847E1,1.399999976E0,8.000000000E0
9.851875103E1,6.500631833E1,2.560860000E1,2.642462316E1,1.615713000E0,7.213999939E1,1.399999976E0,8.100000381E0
9.951875103E1,6.500632500E1,2.560863167E1,2.632461754E1,1.623948574E0,6.747000122E1,1.399999976E0,8.199999809E0
1.005187510E2,6.500633000E1,2.560866667E1,2.622461197E1,1.650714159E0,6.352999878E1,1.399999976E0,8.399999619E0
1.015187510E2,6.500634167E1,2.560870333E1,2.672460440E1,1.681082726E0,5.970999908E1,1.500000000E0,8.500000000E0
1.025187510E2,6.500635167E1,2.560873667E1,2.702459769E1,1.715569139E0,5.981000137E1,1.500000000E0,8.600000381E0
1.035187510E2,6.500636333E1,2.560876833E1,2.712459074E1,1.741305232E0,5.574000168E1,1.500000000E0,8.699999809E0
1.045187510E2,6.500637333E1,2.560880167E1,2.712458403E1,1.776821136E0,5.141999817E1,1.500000000E0,8.699999809E0
1.055187510E2,6.500638167E1,2.560883333E1,2.672457796E1,1.776306391E0,5.974000168E1,1.500000000E0,8.800000191E0
1.065187510E2,6.500638833E1,2.560886333E1,2.642457255E1,1.802557230E0,5.634000015E1,1.500000000E0,8.800000191E0
1.075187510E2,6.500639667E1,2.560889500E1,2.622456649E1,1.814910531E0,5.354999924E1,1.500000000E0,8.800000191E0
1.085187510E2,6.500640333E1,2.560892167E1,2.612456148E1,1.802042484E0,6.063999939E1,1.500000000E0,8.800000191E0
1.095187510E2,6.500640833E1,2.560895500E1,2.622455611E1,1.778365254E0,7.419999695E1,1.500000000E0,8.899999619E0
1.105187510E2,6.500641167E1,2.560899167E1,2.632455078E1,1.760864735E0,7.861000061E1,1.500000000E0,9.000000000E0
1.115187510E2,6.500641833E1,2.560903167E1,2.652454416E1,1.736158013E0,6.231000137E1,1.500000000E0,8.899999619E0
1.125187510E2,6.500642167E1,2.560905500E1,2.642454045E1,1.723289967E0,5.281000137E1,1.500000000E0,8.800000191E0
1.135187510E2,6.500642833E1,2.560907500E1,2.622453625E1,1.703730583E0,5.634000015E1,1.500000000E0,8.899999619E0
1.145187510E2,6.500643667E1,2.560910500E1,2.612453039E1,1.672847271E0,6.538999939E1,1.500000000E0,8.600000381E0
1.155187510E2,6.500644167E1,2.560913333E1,2.602452563E1,1.662038088E0,6.580000305E1,1.500000000E0,8.500000000E0
1.165187510E2,6.500645167E1,2.560916167E1,2.612451953E1,1.624978065E0,6.608999634E1,1.500000000E0,8.399999619E0
1.175187510E2,6.500646167E1,2.560918667E1,2.642451383E1,1.594094753E0,5.308000183E1,1.500000000E0,8.399999619E0
1.185187510E2,6.500647333E1,2.560921833E1,2.672450688E1,1.609021664E0,5.759999847E1,1.500000000E0,8.300000191E0
1.195187510E2,6.500648500E1,2.560924833E1,2.692450013E1,1.624463320E0,5.861000061E1,1.500000000E0,8.300000191E0
1.205187510E2,6.500649500E1,2.560927333E1,2.712449444E1,1.607992172E0,6.193000031E1,1.500000000E0,8.300000191E0
1.215187510E2,6.500650333E1,2.560930333E1,2.722448858E1,1.593065262E0,5.679999924E1,1.500000000E0,8.300000191E0
1.225187510E2,6.500650833E1,2.560932500E1,2.702448463E1,1.566299677E0,5.993000031E1,1.500000000E0,8.300000191E0
1.235187510E2,6.500651500E1,2.560935167E1,2.672447962E1,1.535416365E0,5.738999939E1,1.500000000E0,8.600000381E0
1.245187510E2,6.500652500E1,2.560938167E1,2.692447332E1,1.504018307E0,6.199000168E1,1.500000000E0,8.500000000E0
1.255187510E2,6.500653167E1,2.560940833E1,2.662446832E1,1.489091396E0,3.627999878E1,1.399999976E0,8.699999809E0
1.265187510E2,6.500654500E1,2.560943667E1,2.702446133E1,1.490635514E0,4.834999847E1,1.399999976E0,8.399999619E0
1.275187510E2,6.500655000E1,2.560945833E1,2.652445738E1,1.490635514E0,6.225000000E1,1.399999976E0,8.399999619E0
1.285187510E2,6.500655833E1,2.560949500E1,2.652445072E1,1.465928912E0,6.154999924E1,1.399999976E0,8.500000000E0
1.295187510E2,6.500656667E1,2.560952667E1,2.642444467E1,1.472105503E0,6.338000107E1,1.399999976E0,8.600000381E0
1.305187510E2,6.500657500E1,2.560955667E1,2.632443882E1,1.512768626E0,6.222999954E1,1.399999976E0,8.699999809E0
1.315187510E2,6.500658167E1,2.560958167E1,2.592443401E1,1.579167724E0,5.675000000E1,1.399999976E0,8.500000000E0
1.325187510E2,6.500659000E1,2.560961667E1,2.562442756E1,1.633728385E0,5.247999954E1,1.500000000E0,8.600000381E0
1.335187510E2,6.500660333E1,2.560964333E1,2.572442078E1,1.673876643E0,5.070999908E1,1.500000000E0,8.600000381E0
1.345187510E2,6.500661500E1,2.560967833E1,2.542441343E1,1.719686985E0,5.495000076E1,1.500000000E0,8.500000000E0
1.355187510E2,6.500662500E1,2.560971167E1,2.552440674E1,1.753143907E0,5.252999878E1,1.500000000E0,8.600000381E0
1.365187510E2,6.500663500E1,2.560973833E1,2.582440085E1,1.773732781E0,5.395000076E1,1.500000000E0,8.500000000E0
1.375187510E2,6.500664333E1,2.560976667E1,2.612439520E1,1.792262793E0,5.886999893E1,1.500000000E0,8.500000000E0
